2026-04-08 15:19:31,702 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 padha
2026-04-15 18:53:40,612 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 18:53:40,914 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 18:53:40,915 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-15 18:53:41,416 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-15 18:53:41,416 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/data
2026-04-15 18:53:41,917 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/data - 200 OK
2026-04-15 18:53:41,918 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-15 18:53:41,919 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-15 18:53:42,219 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-15 18:53:42,220 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: config.json
2026-04-15 18:53:42,521 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: config.json
2026-04-15 18:53:42,522 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-15 18:54:31,314 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 18:54:31,615 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 18:54:31,916 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 18:54:33,217 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-15 18:54:33,718 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-15 18:54:34,719 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-15 18:54:35,020 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-15 18:54:36,021 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 18:54:36,523 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-15 18:54:37,024 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 18:54:37,325 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 18:54:37,625 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 18:54:37,926 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 18:54:37,927 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/agents
2026-04-15 18:54:38,428 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/agents - 200 OK
2026-04-15 18:54:38,429 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/admin - BLOCKED
2026-04-15 23:28:29,848 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:28:30,150 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:28:30,451 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 23:28:31,753 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-15 23:28:32,254 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-15 23:28:33,254 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-15 23:28:33,556 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-15 23:28:34,558 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 23:28:35,059 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-15 23:28:35,561 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:28:35,863 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:28:36,165 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 23:28:36,466 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 23:28:36,467 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/agents
2026-04-15 23:28:36,968 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/agents - 200 OK
2026-04-15 23:28:36,969 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/admin - BLOCKED
2026-04-15 23:30:25,414 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:30:25,715 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:30:26,016 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 23:30:26,319 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 23:30:26,322 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-15 23:30:26,824 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-15 23:30:26,827 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-15 23:30:26,829 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-15 23:30:27,130 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-15 23:30:27,132 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-15 23:30:27,138 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:30:27,439 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:30:27,741 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 23:30:33,043 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:30:33,345 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:30:33,647 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 23:33:15,724 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:33:16,025 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:33:16,328 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 23:33:16,631 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-15 23:33:16,633 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-15 23:33:17,135 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-15 23:33:17,137 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-15 23:33:17,140 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-15 23:33:17,442 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-15 23:33:17,444 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-15 23:33:17,450 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:33:17,752 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:33:18,053 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-15 23:33:23,357 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-15 23:33:23,658 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-15 23:33:23,961 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:22:18,188 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:22:18,490 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:22:18,790 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:22:22,521 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-19 11:22:23,022 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-19 11:22:26,048 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-19 11:22:26,349 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-19 11:22:27,350 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-19 11:22:27,851 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-19 11:22:30,392 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:22:30,693 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:22:30,993 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:22:31,294 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-19 11:22:33,555 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/agents
2026-04-19 11:22:34,055 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/agents - 200 OK
2026-04-19 11:22:34,056 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/admin - BLOCKED
2026-04-19 11:24:00,459 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:24:00,760 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:24:01,061 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:24:03,392 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-19 11:24:07,501 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-19 11:24:08,002 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-19 11:24:10,213 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-19 11:24:14,707 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-19 11:24:15,008 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-19 11:24:17,044 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-19 11:24:28,092 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:24:28,392 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:24:28,693 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:24:36,265 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:24:36,566 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:24:36,867 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:29:39,268 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:29:39,569 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:29:39,870 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:29:43,216 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-19 11:29:43,717 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-19 11:29:47,205 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-19 11:29:47,506 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-19 11:29:48,507 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-19 11:29:49,008 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-19 11:29:51,659 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:29:51,960 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:29:52,261 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:29:52,562 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-19 11:29:54,594 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/agents
2026-04-19 11:29:55,095 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/agents - 200 OK
2026-04-19 11:29:55,096 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/admin - BLOCKED
2026-04-19 11:30:10,916 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
2026-04-19 11:30:11,217 | Agent: AGENT-DR01 | Status: SUCCESS | User record #2 read successfully
2026-04-19 11:30:11,518 | Agent: AGENT-DR01 | Status: SUCCESS | Fetched 50 records from database successfully
2026-04-19 11:30:13,854 | Agent: AGENT-HACK01 | Status: UNAUTHORIZED | Attempted to read data - ACCESS DENIED
2026-04-19 11:30:18,263 | Agent: AGENT-AC01 | Status: SUCCESS | API call sent to: /api/users
2026-04-19 11:30:18,764 | Agent: AGENT-AC01 | Status: SUCCESS | API response received from: /api/users - 200 OK
2026-04-19 11:30:21,119 | Agent: AGENT-HACK02 | Status: UNAUTHORIZED | Attempted API call to /api/secret - BLOCKED
2026-04-19 11:30:25,244 | Agent: AGENT-FA01 | Status: SUCCESS | File opened: user_data.csv
2026-04-19 11:30:25,545 | Agent: AGENT-FA01 | Status: SUCCESS | File read successfully: user_data.csv
2026-04-19 11:30:27,811 | Agent: AGENT-HACK03 | Status: UNAUTHORIZED | Attempted to access file: secret.csv - DENIED
2026-04-19 11:30:38,817 | Agent: AGENT-DR01 | Status: SUCCESS | User record #1 read successfully
